molecule_chembl_id,pIC50
CHEMBL4468781,5.207443489963022
CHEMBL199670,5.207443489963022
CHEMBL199861,5.207443489963022
CHEMBL4469239,5.207443489963022
CHEMBL4780352,5.207443489963022
CHEMBL4556734,5.207443489963022
CHEMBL199585,5.207443489963022
CHEMBL4467284,5.207443489963022
CHEMBL4543251,5.207443489963022
CHEMBL381499,5.207443489963022
CHEMBL4532770,5.207443489963022
CHEMBL199454,5.207443489963022
CHEMBL4590945,5.207443489963022
CHEMBL370807,5.207443489963022
CHEMBL4443426,5.207443489963022
CHEMBL382260,5.207443489963022
CHEMBL199748,5.207443489963022
CHEMBL4455677,5.207443489963022
CHEMBL372202,5.207443489963022
CHEMBL4579667,5.207443489963022
CHEMBL200008,5.207443489963022
CHEMBL199538,5.207443489963022
CHEMBL4448350,5.207443489963022
CHEMBL383663,5.207443489963022
CHEMBL3322232,3.3015223191810756
CHEMBL4451843,3.2379769851601177
CHEMBL4589980,3.224188805770748
CHEMBL4205425,3.1398083170350493
CHEMBL4205954,3.088962393883713
CHEMBL4209803,3.0831335518425167
CHEMBL4217663,3.0708909409544605
CHEMBL4210316,3.0659961248918313
CHEMBL4214430,3.0260279834153376
CHEMBL4213253,2.9926562069842966
CHEMBL225567,2.9778758184208756
CHEMBL1083983,2.9778758184208756
CHEMBL225198,2.9778758184208756
CHEMBL4214707,2.965529220545146
CHEMBL4210041,2.9574368046115573
CHEMBL4205144,2.908176683022242
CHEMBL4218191,2.9051858191863
CHEMBL3585776,2.898700868770497
CHEMBL3585783,2.898700868770497
CHEMBL3585784,2.898700868770497
CHEMBL3585775,2.898700868770497
CHEMBL3585778,2.898700868770497
CHEMBL3585777,2.898700868770497
CHEMBL3585782,2.898700868770497
CHEMBL3585779,2.898700868770497
CHEMBL3585781,2.898700868770497
CHEMBL3585780,2.898700868770497
CHEMBL4208866,2.883992899716349
CHEMBL4209518,2.87449418356851
CHEMBL2019048,2.827442547526926
CHEMBL54126,2.7721066148006894
CHEMBL1083984,2.682552154458071
CHEMBL2019049,2.6610355135919703
CHEMBL307004,2.6411139588403603
CHEMBL2019053,2.573556460211668
CHEMBL2019035,2.5452342423844376
CHEMBL223443,2.4962235657715053
CHEMBL4751100,2.4962235657715053
CHEMBL225021,2.4747069249054037
CHEMBL3621322,2.454785370153794
CHEMBL5187881,2.4362391671081984
CHEMBL32823,2.358905653697871
CHEMBL2019041,2.358905653697871
CHEMBL5219841,2.347073420029026
CHEMBL1912059,2.321335402639514
CHEMBL225326,2.321335402639514
CHEMBL1940738,2.314412840317252
CHEMBL3216655,2.278232796248863
CHEMBL4785201,2.278232796248863
CHEMBL2113367,2.259023676156849
CHEMBL338755,2.2499105784216327
CHEMBL4471659,2.2499105784216327
CHEMBL312310,2.2499105784216327
CHEMBL2019032,2.2499105784216327
CHEMBL340427,2.2499105784216327
CHEMBL2011495,2.241095824305812
CHEMBL543655,2.232561463674611
CHEMBL208599,2.232561463674611
CHEMBL2236393,2.232561463674611
CHEMBL140476,2.232561463674611
CHEMBL2113368,2.232561463674611
CHEMBL534932,2.224289546393253
CHEMBL3605361,2.224289546393253
CHEMBL329012,2.224289546393253
CHEMBL538573,2.224289546393253
CHEMBL557155,2.2162645982076192
CHEMBL2019038,2.2084723828039214
CHEMBL555300,2.2008992828385354
CHEMBL4165327,2.2008992828385354
CHEMBL450553,2.1935341568484965
CHEMBL539599,2.172577065011305
CHEMBL4854913,2.1659392289648154
CHEMBL2011487,2.159461706190989
CHEMBL94,2.153136450077685
CHEMBL4280612,2.153136450077685
CHEMBL4796461,2.1469560329829256
CHEMBL555214,2.140914884175229
CHEMBL1179697,2.1243512425672417
CHEMBL426441,2.123566388398373
CHEMBL1083069,2.123566388398373
CHEMBL1651249,2.118133068292434
CHEMBL427082,2.1125926663479984
CHEMBL555666,2.1125926663479984
CHEMBL3215816,2.1125926663479984
CHEMBL389192,2.1125926663479984
CHEMBL4213792,2.1072695229313805
CHEMBL5219771,2.1020497475322717
CHEMBL1085932,2.1020497475322717
CHEMBL5220283,2.1020497475322717
CHEMBL1255901,2.091904207562297
CHEMBL128202,2.0821281927806616
CHEMBL329231,2.077370169124436
CHEMBL5082250,2.0726950874702834
CHEMBL74927,2.0635819897350665
CHEMBL73160,2.0635819897350665
CHEMBL4848527,2.050466011944586
CHEMBL3216422,2.033918463560881
CHEMBL1084544,2.0221437941173552
CHEMBL223170,2.0221437941173552
CHEMBL312761,2.0221437941173552
CHEMBL1669479,2.0221437941173552
CHEMBL131579,2.0221437941173552
CHEMBL3356536,2.014571313122134
CHEMBL4448188,2.010863062865279
CHEMBL5218632,2.010863062865279
CHEMBL4754487,1.996522762088976
CHEMBL2019034,1.9947828369559397
CHEMBL1814731,1.9916793205500185
CHEMBL1651247,1.9881703786862037
CHEMBL93936,1.9863159440726936
CHEMBL92663,1.9862484763247388
CHEMBL603622,1.9862484763247388
CHEMBL5185868,1.9862484763247388
CHEMBL4076580,1.9862484763247388
CHEMBL4753347,1.9862484763247388
CHEMBL4583650,1.9862484763247388
