PUBCHEM_SMILES,PUBCHEM_ACTIVITY_OUTCOME,Antagonist Activity,Viability Activity,Antagonist Efficacy (%),Molecule
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67840>
CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da678b0>
CCCCN(CCCC)CC(C1=CC(=CC\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67920>
C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67990>
CC(=O)OCC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67a00>
CCOC(=O)/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C(=C(C=C1C)OC)C)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67a70>
CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)/C=C(\CC3=CC=CS3)/C(=O)O.CS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67ae0>
CC[N+]1(CCCCC1)CCOC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O.[Br-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67b50>
C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@@H](C)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67bc0>
CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67c30>
C1CC2=C(C[C@@H]1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67ca0>
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=N3)OC,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67d10>
C1=CC(=C(C=C1C(CNCCCCCCNCC(C2=CC(=C(C=C2)O)O)O)O)O)O.OS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67d80>
CC1=CC(=C(C=C1CC2=CN=C(N=C2N)N)OC)OC,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67df0>
CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67e60>
CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67ed0>
CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da67f40>
CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68040>
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da680b0>
CNC1CCCN(C1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68120>
CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68190>
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2C4(CC4)N)F)C(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68200>
CC(C)NCC(C1=CC=CC=C1Cl)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68270>
CC1=CNC2=CC=CC=C12,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da682e0>
CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68350>
C1=CN=CC(=C1N)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da683c0>
CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Br,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68430>
CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)COC6=CC=C(C=C6)OC,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da684a0>
C1CN(CC=C1C2=CC(=CC=C2)C(F)(F)F)CCC3=CC4=CC=CC=C4C=C3.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68510>
C1=CC(=NC=C1Cl)C(=O)NCCN.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68580>
CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da685f0>
C1=CC=C2C(=C1)C(OC2=O)OC(=O)C3=C(N=CC=C3)NC4=CC=CC(=C4)C(F)(F)F,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68660>
C1=C(C(=CC(=C1O)O)O)CCN.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da686d0>
C1CN(CCN1CCOCC(=O)N)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68740>
C1CN(CCN1CCCN2C3=CC=CC4=C3C(=CC=C4)S2(=O)=O)C5=CC=C(C=C5)F,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da687b0>
C(C(=O)O)(Cl)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68820>
C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68890>
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68900>
CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68970>
CC(C1=CC2=C(C=C1)OC3=C(C2)C=CC=N3)C(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da689e0>
CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68a50>
CC(CC1=CC(=C(C=C1OC)Br)OC)N.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68ac0>
C[C@@H](C(=O)C1=CC=CC=C1)N.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68b30>
CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68ba0>
CC(CC1=CC2=C(C=C1)OCO2)NC.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68c10>
CC(CC1=C(C=CC(=C1)OC)OC)N.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68c80>
CC(C)CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68cf0>
CS(=O)(=O)O.C#CCN[C@@H]1CCC2=CC=CC=C12,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68d60>
CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68dd0>
C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68e40>
C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68eb0>
CN1CCCN=C1/C=C/C2=CC=CS2.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68f20>
CCC(=O)O.CCC(=O)O.C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da68f90>
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69000>
C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69070>
C[C@@H]([C@@H](C1=CC(=CC=C1)O)O)N.[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da690e0>
CC(CCCC(C)(C)O)N.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69150>
CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da691c0>
C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69230>
C(CC(=O)O)C(=O)CN.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da692a0>
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69310>
CN(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69380>
CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da693f0>
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69460>
COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da694d0>
C(CN)N.[Cl-].[Cl-].[Pt+2],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69540>
CCN(CC)CCOC(=O)C(C1CCCCC1)C2=CC=CC=C2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da695b0>
C[N+]1=CC=CC=C1/C=N/O.[Cl-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69620>
C(=O)([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69690>
C(CS(=O)(=O)[O-])S.[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69700>
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69770>
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da697e0>
C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69850>
CCCCCC(C)N.CCCCCC(C)N.OS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da698c0>
CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69930>
C1C[C@@H]([C@@H]([C@@H]2[C@@H]1CN3CCC4=C([C@@H]3C2)NC5=CC=CC=C45)C(=O)O)O.O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da699a0>
CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69a10>
CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.C(=O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69a80>
CC1=C(SC=C1)/C=C/C2=NCCCN2C.[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69af0>
CCCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69b60>
C1(C(C(C(C(C1O)O)O)O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69bd0>
CC(C)[C@@H](C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69c40>
CC1(CCCC(N1C)(C)C)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69cb0>
CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F.CS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69d20>
CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69d90>
CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69e00>
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O.OP(=O)(O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69e70>
CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].O.[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69ee0>
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)N)N.OS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69f50>
CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da69fc0>
CC1=C(C=CC2=C1OC(=O)C(=C2[O-])NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O.[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a030>
C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(C(=O)C[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a0a0>
CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)[O-].O.O.[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a110>
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a180>
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a1f0>
CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a260>
CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)[O-])OC)OC2)C(=O)[O-].[Na+].[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a2d0>
CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a340>
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a3b0>
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)[O-])C.O.[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a420>
C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a490>
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a500>
C[C@@H]1CN(CC[C@@]1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a570>
CCN[C@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a5e0>
CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a650>
CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a6c0>
CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N.CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a730>
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a7a0>
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a810>
C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a880>
CN1C(=O)CC(C1=O)C2=CC=CC=C2,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a8f0>
CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a960>
CC(C)NCC(COC1=CC=CC=C1OCC=C)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6a9d0>
CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6aa40>
CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6aab0>
C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6ab20>
CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6ab90>
CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6ac00>
CC1CC(CC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6ac70>
CC(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6ace0>
CC(CNC1CCCCC1)OC(=O)C2=CC=CC=C2.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6ad50>
CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6adc0>
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)CCC(=O)[O-])C)(C)C(=O)[O-].[Na+].[Na+],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6ae30>
CCN(CC)CCC1=NC(=NO1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6aea0>
C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6af10>
CC(=O)NC1CCSC1=O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6af80>
CC(=O)SC[C@@H](CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6aff0>
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6b060>
CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O.Cl,Inactive,inactive,inactive,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da6b0d0>
