PUBCHEM_SMILES,PUBCHEM_ACTIVITY_OUTCOME,Antagonist Activity,Viability Activity,Antagonist Efficacy (%),Molecule
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,Active,active antagonist,inactive,-38.7705,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da1d460>
CCN(CC)C1=CC(=NC2=NC=NN12)C,Active,active antagonist,inactive,-37.6924,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da1d4d0>
CCOC(=O)C(=C)C#N,Active,active antagonist,inactive,-33.8385,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da1d540>
C1=CC=C(C=C1)C(C#N)C2=CC=CC=C2,Active,active antagonist,inactive,-32.4647,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da1d5b0>
C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b290>
C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b300>
C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b3e0>
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b450>
CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)[O-])S(=O)(=O)[O-].[Ca+2],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b4c0>
C1C(=NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b530>
C1=CC(=CC=C1[N+](=O)[O-])O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b5a0>
C1=CC=C2C(=C1)C(=O)C3=C(C=C(C(=C3C2=O)N)S(=O)(=O)O)Br,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b610>
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b680>
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b6f0>
C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b760>
C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b840>
CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b8b0>
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b920>
CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4b990>
C1=C2C(C(=O)N(C2=CC(=C1F)Cl)C(=O)N)C(=O)C3=CC(=CS3)Cl,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4ba00>
CC(=O)NC1=C2C(=CC(=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-].[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4ba70>
C1=C(C=C(C(=C1N)O)[N+](=O)[O-])[N+](=O)[O-],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bae0>
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O)C,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bb50>
C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O.[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bbc0>
C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)[O-].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bc30>
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Inactive,inactive,inconclusive antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bca0>
CC1=C(C=CC(=C1)S(=O)(=O)[O-])N=NC2=C(C=CC3=CC=CC=C32)O.[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bd80>
C1=CC=C(C(=C1)C(F)(F)F)N=NC2=C(C=CC3=CC(=CC(=C32)O)S(=O)(=O)[O-])N.[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bdf0>
C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4be60>
CC1=CC(=C(C=C1)N/N=C/2\C(=O)C=C/C(=N\NC3=CC=C(C=C3)S(=O)(=O)[O-])/C2=O)C.[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bed0>
C1=CC(=C(C(=C1C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4bf40>
CCOC1=CC=C(C=C1)N=NC2=CC(=C(C=C2)/C=C/C3=C(C=C(C=C3)N=NC4=CC=C(C=C4)OCC)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c040>
C1=CC(=C(C=C1[N+](=O)[O-])O)N,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c0b0>
CC1CC(CCC1N)CC2CCC(C(C2)C)N,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c120>
C1=CC=C2C(=C1)C(=O)OC23C4=C(C(=C(C=C4)O)Br)OC5=C3C=CC(=C5Br)O,Inactive,inactive,active antagonist,0.0,<rdkit.Chem.rdchem.Mol object at 0x7d0d3da4c190>
